501 800
328 331 200
329 331 663
330 331 839
331 332 389
331 333 517
331 334 11
331 335 237
332 336 878
333 336 811
334 336 500
335 336 74
336 337 527
336 338 935
336 339 322
336 340 775
337 341 703
338 341 558
339 341 477
340 341 578
341 342 380
341 343 639
341 344 485
341 345 781
342 346 293
343 346 112
344 346 158
345 346 114
346 347 745
346 348 133
346 349 626
346 350 910
347 351 685
348 351 640
349 351 749
350 351 73
351 352 157
351 353 759
351 354 661
351 355 386
352 356 921
353 356 512
354 356 459
355 356 447
356 357 447
356 358 780
356 359 573
356 360 501
357 361 690
358 361 49
359 361 430
360 361 421
361 362 40
361 363 915
361 364 201
361 365 332
362 366 378
363 366 710
364 366 797
365 366 474
366 367 195
366 368 774
366 369 384
366 370 879
367 371 413
368 371 484
369 371 303
370 371 921
371 372 594
371 373 964
371 374 306
371 375 866
372 376 827
373 376 764
374 376 664
375 376 273
376 377 896
376 378 236
376 379 774
376 380 585
377 381 284
378 381 555
379 381 357
380 381 675
381 382 469
381 383 558
381 384 6
381 385 199
382 386 619
383 386 154
384 386 24
385 386 813
386 387 927
386 388 759
386 389 691
386 390 340
387 391 242
388 391 346
389 391 612
390 391 187
391 392 661
391 393 918
391 394 52
391 395 487
392 396 681
393 396 715
394 396 760
395 396 576
396 397 302
396 398 885
396 399 512
396 400 586
397 401 791
398 401 869
399 401 260
400 401 260
401 402 778
401 403 618
401 404 810
401 405 396
402 406 771
403 406 185
404 406 209
405 406 50
406 407 944
406 408 251
406 409 741
406 410 537
407 411 596
408 411 352
409 411 76
410 411 256
411 412 269
411 413 127
411 414 743
411 415 302
412 416 194
413 416 854
414 416 229
415 416 495
416 417 90
416 418 741
416 419 432
416 420 880
417 421 961
418 421 692
419 421 491
420 421 90
421 422 661
421 423 652
421 424 485
421 425 783
422 426 837
423 426 45
424 426 184
425 426 132
426 427 296
426 428 924
426 429 20
426 430 243
427 431 276
428 431 95
429 431 851
430 431 896
431 432 574
431 433 593
431 434 197
431 435 767
432 436 798
433 436 778
434 436 261
435 436 239
436 437 518
436 438 693
436 439 470
436 440 830
437 441 736
438 441 313
439 441 919
440 441 748
441 442 964
441 443 755
441 444 530
441 445 152
442 446 800
443 446 714
444 446 635
445 446 447
446 447 989
446 448 655
446 449 689
446 450 264
447 451 101
448 451 539
449 451 512
450 451 674
451 452 483
451 453 708
451 454 440
451 455 632
452 456 485
453 456 53
454 456 870
455 456 354
456 457 745
456 458 692
456 459 535
456 460 480
457 461 4
458 461 805
459 461 227
460 461 319
461 462 560
461 463 108
461 464 471
461 465 359
462 466 173
463 466 457
464 466 157
465 466 162
466 467 463
466 468 845
466 469 777
466 470 564
467 471 736
468 471 288
469 471 237
470 471 218
471 472 348
471 473 29
471 474 202
471 475 184
472 476 81
473 476 423
474 476 890
475 476 825
476 477 114
476 478 776
476 479 656
476 480 117
477 481 581
478 481 234
479 481 436
480 481 140
481 482 693
481 483 258
481 484 850
481 485 866
482 486 714
483 486 6
484 486 379
485 486 177
486 487 202
486 488 155
486 489 92
486 490 289
487 491 795
488 491 328
489 491 859
490 491 494
491 492 708
491 493 60
491 494 677
491 495 788
492 496 482
493 496 918
494 496 964
495 496 596
496 497 694
496 498 619
496 499 64
496 500 274
497 501 204
498 501 851
499 501 765
500 501 897
1 1 1 1 0 1 1 1 1 0 0 1 1 0 0 1 1 1 0 0 0 0 1 1 0 1 0 0 1 0 0 1 1 1 0 1 0 1 1 1 1 1 1 0 1 1 1 0 0 0 0 1 0 0 0 0 1 1 0 0 1 0 1 1 1 1 0 1 0 1 1 1 0 0 0 1 1 1 1 0 1 0 1 1 0 1 0 1 0 0 1 0 1 1 1 0 0 1 0 1 1 1 0 1 1 0 1 0 0 0 0 1 0 1 1 0 1 1 1 1 1 1 1 0 0 0 1 0 0 1 1 1 0 0 0 1 0 1 1 0 0 0 0 0 1 1 1 0 0 0 0 1 1 1 0 1 0 1 0 0 0 1 1 0 1 1 1 0 1 0 0 1 0 0 1 0 1 0 0 1 1 0 1 0 0 1 0 0 0 0 0 0 1 1 0 1 0 1 1 1 1 1 0 0 0 0 0 1 0 0 1 1 1 0 0 1 1 0 1 1 0 1 1 1 0 1 0 0 0 1 0 1 1 0 1 1 0 1 0 1 0 1 0 1 1 0 0 0 0 1 1 0 0 0 0 0 1 0 0 1 0 0 1 1 1 0 0 1 0 0 0 0 0 1 1 1 1 1 0 0 0 1 0 0 0 0 0 1 1 0 1 1 1 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 1 1 0 1 1 0 1 0 1 0 1 0 0 1 0 0 1 1 1 0 1 1 0 0 1 0 1 1 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 1 1 1 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 1 1 1 0 1 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 1 1 0 1 0 0 0 1 1 0 1 1 0 1 0 1 1 0 1 1 1 1 1 1 0 0 1 0 1 0 1 0 1 0 1 1 0 0 0 1 0 1 0 0 0 0 1 0 0 0 1 0 0 1 1 0 1 1 0 0 1 0 0 0 0 1 1 0 1 1 1 1 0 0 0 1 0 1 1 1 0 0 1 0 1 0 0 0 1 0 0 0 0
